codigo_municipio,municipio,estado,regiao,ano,IN049
530010,Brasília,DF,Centro-Oeste,2003,26
520510,Catalão,GO,Centro-Oeste,2003,0
520490,Campos Belos,GO,Centro-Oeste,2003,48
520465,Campinaçu,GO,Centro-Oeste,2003,41
520440,Caiapônia,GO,Centro-Oeste,2003,14
520430,Caçu,GO,Centro-Oeste,2003,45
520425,Cachoeira Dourada,GO,Centro-Oeste,2003,40
520350,Bom Jesus de Goiás,GO,Centro-Oeste,2003,26
520340,Bom Jardim de Goiás,GO,Centro-Oeste,2003,15
520005,Abadia de Goiás,GO,Centro-Oeste,2003,71
520013,Acreúna,GO,Centro-Oeste,2003,27
520017,Água Fria de Goiás,GO,Centro-Oeste,2003,26
520025,Águas Lindas de Goiás,GO,Centro-Oeste,2003,23
520060,Alto Paraíso de Goiás,GO,Centro-Oeste,2003,22
520080,Alvorada do Norte,GO,Centro-Oeste,2003,40
520090,Amorinópolis,GO,Centro-Oeste,2003,40
520110,Anápolis,GO,Centro-Oeste,2003,48
520130,Anicuns,GO,Centro-Oeste,2003,31
520140,Aparecida de Goiânia,GO,Centro-Oeste,2003,26
520170,Aragarças,GO,Centro-Oeste,2003,35
520180,Aragoiânia,GO,Centro-Oeste,2003,27
520215,Araguapaz,GO,Centro-Oeste,2003,23
521930,Santa Helena de Goiás,GO,Centro-Oeste,2003,35
521940,Santa Rita do Araguaia,GO,Centro-Oeste,2003,10
521900,Sanclerlândia,GO,Centro-Oeste,2003,27
521975,Santo Antônio do Descoberto,GO,Centro-Oeste,2003,32
521980,São Domingos,GO,Centro-Oeste,2003,23
521990,São Francisco de Goiás,GO,Centro-Oeste,2003,25
522000,São João d Aliança,GO,Centro-Oeste,2003,36
522010,São Luís de Montes Belos,GO,Centro-Oeste,2003,32
522020,São Miguel do Araguaia,GO,Centro-Oeste,2003,47
522026,São Miguel do Passa Quatro,GO,Centro-Oeste,2003,35
522060,Silvânia,GO,Centro-Oeste,2003,37
522140,Trindade,GO,Centro-Oeste,2003,36
520549,Cidade Ocidental,GO,Centro-Oeste,2003,37
520540,Ceres,GO,Centro-Oeste,2003,39
520530,Cavalcante,GO,Centro-Oeste,2003,13
522160,Uruaçu,GO,Centro-Oeste,2003,42
522200,Vianópolis,GO,Centro-Oeste,2003,26
522185,Valparaíso de Goiás,GO,Centro-Oeste,2003,23
522170,Uruana,GO,Centro-Oeste,2003,29
