estado,ano,IN049
DF,2003,26
GO,2003,32
MS,2003,47
MT,2003,44
AL,2003,53
BA,2003,41
CE,2003,44
MA,2003,47
PB,2003,41
PE,2003,64
PI,2003,62
RN,2003,4
SE,2003,49
AC,2003,72
AM,2003,35
AP,2003,68
PA,2003,47
RO,2003,7
RR,2003,52
TO,2003,8
ES,2003,46
MG,2003,34
RJ,2003,47
SP,2003,40
PR,2003,33
RS,2003,42
SC,2003,49
DF,2007,28
GO,2007,36
MS,2007,46
MT,2007,39
AL,2007,58
BA,2007,38
CE,2007,36
MA,2007,57
PB,2007,49
PE,2007,67
PI,2007,62
RN,2007,50
SE,2007,48
AC,2007,70
AM,2007,59
AP,2007,72
PA,2007,38
RO,2007,62
RR,2007,48
TO,2007,32
ES,2007,37
MG,2007,33
RJ,2007,50
SP,2007,41
PR,2007,33
RS,2007,39
SC,2007,40
DF,2005,28
GO,2005,35
MS,2005,48
MT,2005,48
AL,2005,55
BA,2005,42
CE,2005,36
MA,2005,42
PB,2005,39
PE,2005,67
PI,2005,60
RN,2005,52
SE,2005,47
AC,2005,75
AM,2005,56
AP,2005,73
PA,2005,47
RO,2005,59
RR,2005,53
TO,2005,37
ES,2005,37
MG,2005,33
RJ,2005,51
SP,2005,40
PR,2005,33
RS,2005,44
SC,2005,47
DF,2015,35
GO,2015,30
MS,2015,30
MT,2015,46
AL,2015,45
BA,2015,36
CE,2015,41
MA,2015,62
PB,2015,36
PE,2015,50
PI,2015,45
RN,2015,50
SE,2015,53
AC,2015,56
AM,2015,44
AP,2015,74
PA,2015,39
RO,2015,48
RR,2015,59
TO,2015,37
ES,2015,34
MG,2015,33
RJ,2015,31
SP,2015,34
PR,2015,33
RS,2015,32
SC,2015,31
DF,2009,27
GO,2009,33
MS,2009,37
MT,2009,42
AL,2009,59
BA,2009,37
CE,2009,39
MA,2009,47
PB,2009,40
PE,2009,64
PI,2009,60
RN,2009,57
SE,2009,58
AC,2009,61
AM,2009,64
AP,2009,70
PA,2009,38
RO,2009,55
RR,2009,53
TO,2009,32
ES,2009,35
MG,2009,33
RJ,2009,50
SP,2009,38
PR,2009,32
RS,2009,39
SC,2009,29
DF,2017,33
GO,2017,29
MS,2017,32
MT,2017,45
AL,2017,44
BA,2017,39
CE,2017,45
MA,2017,59
PB,2017,37
PE,2017,52
PI,2017,49
RN,2017,49
SE,2017,47
AC,2017,60
AM,2017,68
AP,2017,66
PA,2017,40
RO,2017,55
RR,2017,70
TO,2017,34
ES,2017,38
MG,2017,35
RJ,2017,31
SP,2017,36
PR,2017,28
RS,2017,38
SC,2017,36
DF,2013,27
GO,2013,28
MS,2013,32
MT,2013,47
AL,2013,46
BA,2013,41
CE,2013,36
MA,2013,61
